"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1976","Successful login using standard user","","2026-09-22","passed","2026-09-22","","","",""
"","2655","Successful login with valid credentials","","2026-09-22","passed","2026-09-22","","","",""
"","1976","Successful login with valid credentials","","2026-09-22","passed","2026-09-22","","","",""
"","1894","Successful login with valid credentials","","2026-09-22","passed","2026-09-22","","","",""
